family	decimalLatitude	decimalLongitude
Betulaceae	38.746759	-78.269627
Asteraceae	30.491089	-91.026473
Onagraceae	38.716458	-90.73945
Pinaceae	44.299167	-72.301833
Scrophulariaceae	33.340639	-116.901569
Cactaceae	34.129343	-116.036937
Rosaceae	38.545413	-90.535805
Asteraceae	34.182279	-118.496615
Pinaceae	44.12	-72.936
Pinaceae	44.1205	-72.936
Asteraceae	40.794766	-73.951536
Pinaceae	43.719505	-72.905273
Apiaceae	34.426932	-97.144763
Cupressaceae	44.333936	-68.2666
Ericaceae	47.317663	-122.54705
Portulacaceae	34.182279	-118.496615
Asteraceae	38.989894	-93.584041
Lythraceae	38.938362	-76.686058
Ericaceae	38.71263	-123.022442
Asteraceae	42.003662	-87.781969
Asteraceae	39.876227	-83.995687
Asteraceae	34.171761	-118.471928
Asteraceae	34.171761	-118.471928
Polygonaceae	41.460467	-79.132525
Scrophulariaceae	38.926739	-95.232785
Poaceae	30.24157	-95.957769
Asteraceae	30.238871	-95.969526
Altingiaceae	30.241546	-95.960207
Asteraceae	32.366725	-92.012579
Phrymaceae	32.976529	-116.581598
Rosaceae	32.976529	-116.581598
Rosaceae	32.976529	-116.581598
Onagraceae	32.976529	-116.581598
Polygonaceae	34.692871	-120.041041
Solanaceae	34.170766	-118.476949
Asteraceae	29.753944	-95.359408
Asteraceae	34.72966	-92.353242
Pinaceae	43.762292	-73.056164
Pinaceae	42.405778	-71.095808
Asteraceae	34.233552	-118.305152
Pinaceae	43.537022	-72.715448
Pinaceae	43.634305	-72.867851
Pinaceae	43.634305	-72.867851
Orobanchaceae	27.834388	-97.087119
Pinaceae	43.714976	-72.905703
Asteraceae	34.17595	-118.472872
Pinaceae	43.63823	-72.552313
Scrophulariaceae	37.498154	-89.265433
Pinaceae	43.681008	-72.78466
Pinaceae	43.668989	-72.778931
Ranunculaceae	40.435885	-79.898265
Ranunculaceae	38.677632	-97.991237
Cupressaceae	44.65465	-72.379056
Juncaceae	38.135054	-122.57552
Cactaceae	33.755301	-116.540165
Solanaceae	32.658554	-117.082945
Pinaceae	44.184658	-72.419425
Convolvulaceae	30.383443	-97.025904
Cactaceae	32.157794	-111.040181
Pinaceae	44.70615	-73.33538
Pinaceae	43.840065	-72.96761
Poaceae	33.989875	-120.084138
Plumbaginaceae	36.507323	-121.76552
Cactaceae	33.623768	-115.342712
Primulaceae	37.964802	-122.612302
Pinaceae	43.847583	-72.594262
Pinaceae	44.474628	-72.760247
Pinaceae	44.472122	-72.756653
Polygonaceae	33.091537	-116.985889
Crassulaceae	30.233333	-97.651334
Annonaceae	35.948667	-79.05
Asteraceae	30.725789	-96.777722
Pinaceae	43.636013	-72.870941
Rubiaceae	30.840805	-96.982474
Arecaceae	30.368344	-91.10702
Rubiaceae	30.383472	-97.025291
Oxalidaceae	30.004158	-90.77605
Rubiaceae	30.383974	-97.025653
Lamiaceae	30.459783	-91.185037
Solanaceae	35.456615	-98.815069
Fabaceae	34.012322	-118.209451
Polygonaceae	35.241138	-114.677511
Polygonaceae	35.22924	-114.359978
Polygonaceae	35.22924	-114.359978
Solanaceae	32.260427	-102.775726
Solanaceae	30.433847	-99.812494
Cucurbitaceae	32.731736	-116.940665
Malvaceae	34.1749	-118.472492
Primulaceae	37.809	-122.4735
Cactaceae	31.879553	-106.530633
Fabaceae	34.734855	-118.395106
Asparagaceae	34.734855	-118.395106
Asteraceae	34.734855	-118.395106
Montiaceae	34.734855	-118.395106
Papaveraceae	34.734855	-118.395106
Papaveraceae	34.734855	-118.395106
Solanaceae	36.109294	-115.025032
Plantaginaceae	37.917219	-121.834721
Ericaceae	37.909233	-122.266708
Polygonaceae	44.483779	-72.72849
Betulaceae	44.484722	-72.729124
Primulaceae	33.998935	-120.065364
Plumbaginaceae	32.847417	-117.278543
Pinaceae	42.575001	-70.932122
Polygonaceae	34.185378	-118.100366
Lamiaceae	37.433413	-122.348331
Polygonaceae	34.18096	-118.096534
Primulaceae	37.752258	-122.470744
Ericaceae	48.54645	-123.011611
Ericaceae	37.571851	-122.481707
Lamiaceae	34.034915	-118.044959
Ericaceae	38.596411	-122.5698
Polygonaceae	34.177035	-118.096769
Pinaceae	42.244312	-71.184455
Cupressaceae	42.407342	-71.332342
Papaveraceae	43.767877	-72.420611
Celastraceae	42.065864	-87.772745
Phytolaccaceae	35.544054	-82.370653
Plumbaginaceae	32.932159	-117.260352
Liliaceae	37.80781	-122.112296
Solanaceae	29.99111	-97.89274
Adoxaceae	37.839616	-122.028748
Onagraceae	37.820197	-122.03683
Lamiaceae	35.281677	-120.85746
Cactaceae	32.587877	-97.100109
Fabaceae	48.459356	-123.023253
Pinaceae	42.244238	-71.184517
Pinaceae	43.82847	-72.521903
Polygonaceae	33.009256	-117.251825
Lamiaceae	33.00928	-117.251506
Phytolaccaceae	36.002078	-78.901659
Phytolaccaceae	40.612753	-74.472402
Phytolaccaceae	40.589514	-74.621968
Malvaceae	30.389527	-97.730304
Asteraceae	27.635089	-82.718595
Phytolaccaceae	38.611488	-122.774084
Asparagaceae	30.774469	-96.938016
Solanaceae	30.216717	-97.650583
Pinaceae	43.481443	-73.205474
Ericaceae	34.202924	-118.029227
Asteraceae	38.863637	-100.757289
Poaceae	33.384429	-97.69417
Commelinaceae	43.044955	-89.423812
Fabaceae	43.044955	-89.423812
Solanaceae	38.795704	-100.693903
Poaceae	35.98154	-79.063198
Asparagaceae	31.08116	-91.524855
Pinaceae	44.034505	-73.076783
Poaceae	38.216328	-91.095191
Poaceae	38.79945	-100.697165
Lamiaceae	38.138265	-122.946855
Asteraceae	33.873557	-118.322253
Pinaceae	43.771655	-72.922295
Pinaceae	43.771672	-72.920495
Pinaceae	43.771072	-72.922039
Pinaceae	43.774232	-72.920108
Cupressaceae	45.853651	-69.540483
Pinaceae	45.853651	-69.540483
Pinaceae	43.689632	-70.231781
Cupressaceae	38.58555	-122.69239
Ericaceae	38.58181	-122.68916
Ericaceae	38.447619	-122.975135
Ericaceae	38.442456	-122.926962
Ericaceae	38.440741	-122.927859
Cupressaceae	38.440698	-122.92794
Fabaceae	38.691683	-100.923552
Rosaceae	34.024067	-116.658154
Fabaceae	42.927517	-88.446805
Poaceae	37.920032	-122.494512
Asteraceae	35.595169	-82.562843
Poaceae	38.930518	-92.503139
Onocleaceae	39.495917	-79.30957
Asteraceae	38.928703	-92.379147
Pinaceae	43.594442	-72.026186
Phrymaceae	34.170461	-118.476842
Polygonaceae	34.274802	-119.288506
Asteraceae	34.175944	-118.472125
Acanthaceae	30.410405	-97.756243
Crassulaceae	32.668713	-117.245117
Cactaceae	32.668713	-117.245117
Asparagaceae	32.717609	-117.286821
Cactaceae	32.668713	-117.245117
Cleomaceae	32.668713	-117.245117
Aizoaceae	32.668713	-117.245117
Asteraceae	32.998886	-80.1897
Asparagaceae	30.804228	-97.037305
Fagaceae	34.477641	-118.873339
Araceae	42.877326	-76.930272
Lamiaceae	33.647729	-117.414177
Asteraceae	35.513489	-93.326597
Polygonaceae	33.789632	-118.298834
Campanulaceae	33.541731	-85.651629
Plantaginaceae	33.558275	-85.654721
Asteraceae	30.614017	-96.720013
Ericaceae	47.07301	-122.977459
Ericaceae	47.023919	-122.905743
Asteraceae	40.236492	-75.273797
Phytolaccaceae	42.343999	-71.0936
Poaceae	32.355042	-92.045634
Phytolaccaceae	30.814772	-94.023194
Pinaceae	43.805345	-72.515793
Ranunculaceae	44.50147	-72.638063
Fabaceae	37.946025	-122.133186
Fagaceae	43.693814	-73.031286
Sapindaceae	44.499934	-72.639713
Poaceae	34.940596	-119.165697
Solanaceae	31.570743	-105.594339
Asteraceae	35.706901	-83.784522
Pinaceae	44.392776	-72.444444
Pinaceae	44.285069	-72.549737
Pinaceae	44.326534	-72.497981
Pinaceae	44.285069	-72.549737
Pinaceae	44.341112	-72.463323
Ericaceae	47.608867	-122.282883
Pinaceae	44.941225	-73.169796
Pinaceae	44.773382	-72.551503
Cactaceae	33.258153	-97.062211
Pinaceae	44.29111	-72.5528
Pinaceae	44.339727	-72.45169
Asparagaceae	34.386811	-118.329912
Polygonaceae	34.2038	-117.9568
Poaceae	34.204768	-118.128894
Rosaceae	34.1975	-117.9584
